,Datetime,Region,Technology,Cost,Value
281,2054,reg1,Geo_PP,fixed_cost,106645066.66666667
282,2055,reg1,Geo_PP,fixed_cost,113710523.33333339
283,2056,reg1,Geo_PP,fixed_cost,113710523.33333339
284,2057,reg1,Geo_PP,fixed_cost,113710523.33333339
285,2058,reg1,Geo_PP,fixed_cost,107022066.66666672
286,2059,reg1,Geo_PP,fixed_cost,100333566.66666672
287,2060,reg1,Geo_PP,fixed_cost,93645066.66666672
288,2025,reg1,Solar_PV_PP,fixed_cost,306848000.0
289,2026,reg1,Solar_PV_PP,fixed_cost,357384720.0
290,2027,reg1,Solar_PV_PP,fixed_cost,405212160.0
291,2028,reg1,Solar_PV_PP,fixed_cost,450330320.0
292,2029,reg1,Solar_PV_PP,fixed_cost,492739199.99999994
293,2030,reg1,Solar_PV_PP,fixed_cost,532438800.0
294,2031,reg1,Solar_PV_PP,fixed_cost,569429120.0
295,2032,reg1,Solar_PV_PP,fixed_cost,603710160.0
296,2033,reg1,Solar_PV_PP,fixed_cost,635281920.0
297,2034,reg1,Solar_PV_PP,fixed_cost,664144399.9999999
298,2035,reg1,Solar_PV_PP,fixed_cost,690297600.0
299,2036,reg1,Solar_PV_PP,fixed_cost,713741520.0000001
300,2037,reg1,Solar_PV_PP,fixed_cost,734476160.0
301,2038,reg1,Solar_PV_PP,fixed_cost,752501520.0
302,2039,reg1,Solar_PV_PP,fixed_cost,767817600.0000001
303,2040,reg1,Solar_PV_PP,fixed_cost,780424399.9999999
304,2041,reg1,Solar_PV_PP,fixed_cost,790321920.0
305,2042,reg1,Solar_PV_PP,fixed_cost,797510160.0000001
306,2043,reg1,Solar_PV_PP,fixed_cost,801989119.9999999
307,2044,reg1,Solar_PV_PP,fixed_cost,803758800.0
308,2045,reg1,Solar_PV_PP,fixed_cost,802819200.0
309,2046,reg1,Solar_PV_PP,fixed_cost,799170319.9999999
310,2047,reg1,Solar_PV_PP,fixed_cost,792812160.0
311,2048,reg1,Solar_PV_PP,fixed_cost,783744720.0
312,2049,reg1,Solar_PV_PP,fixed_cost,771967999.9999999
313,2050,reg1,Solar_PV_PP,fixed_cost,798400000.0
314,2051,reg1,Solar_PV_PP,fixed_cost,761471999.9999999
315,2052,reg1,Solar_PV_PP,fixed_cost,728640000.0
316,2053,reg1,Solar_PV_PP,fixed_cost,696960000.0
317,2054,reg1,Solar_PV_PP,fixed_cost,665280000.0
318,2055,reg1,Solar_PV_PP,fixed_cost,633600000.0
319,2056,reg1,Solar_PV_PP,fixed_cost,601920000.0
320,2057,reg1,Solar_PV_PP,fixed_cost,570240000.0
321,2058,reg1,Solar_PV_PP,fixed_cost,538560000.0
322,2059,reg1,Solar_PV_PP,fixed_cost,506880000.0
323,2060,reg1,Solar_PV_PP,fixed_cost,488368083.16893494
324,2025,reg1,Wind_On-Shore_PP,fixed_cost,529200000.0
325,2026,reg1,Wind_On-Shore_PP,fixed_cost,593664000.0
326,2027,reg1,Wind_On-Shore_PP,fixed_cost,654992000.0000001
327,2028,reg1,Wind_On-Shore_PP,fixed_cost,713184000.0000001
328,2029,reg1,Wind_On-Shore_PP,fixed_cost,768240000.0000001
329,2030,reg1,Wind_On-Shore_PP,fixed_cost,820160000.0000001
330,2031,reg1,Wind_On-Shore_PP,fixed_cost,868944000.0000001
331,2032,reg1,Wind_On-Shore_PP,fixed_cost,914592000.0000002
332,2033,reg1,Wind_On-Shore_PP,fixed_cost,957104000.0000002
333,2034,reg1,Wind_On-Shore_PP,fixed_cost,996480000.0000002
334,2035,reg1,Wind_On-Shore_PP,fixed_cost,1032720000.0000002
335,2036,reg1,Wind_On-Shore_PP,fixed_cost,1065824000.0000002
336,2037,reg1,Wind_On-Shore_PP,fixed_cost,1095792000.0000002
337,2038,reg1,Wind_On-Shore_PP,fixed_cost,1122624000.0000002
338,2039,reg1,Wind_On-Shore_PP,fixed_cost,1146320000.0000002
339,2040,reg1,Wind_On-Shore_PP,fixed_cost,1166880000.0000002
340,2041,reg1,Wind_On-Shore_PP,fixed_cost,1184304000.0000002
341,2042,reg1,Wind_On-Shore_PP,fixed_cost,1198592000.0000002
342,2043,reg1,Wind_On-Shore_PP,fixed_cost,1209744000.0000002
343,2044,reg1,Wind_On-Shore_PP,fixed_cost,1217760000.0000002
344,2045,reg1,Wind_On-Shore_PP,fixed_cost,1222640000.0000002
345,2046,reg1,Wind_On-Shore_PP,fixed_cost,1224384000.0000002
346,2047,reg1,Wind_On-Shore_PP,fixed_cost,1222992000.0
347,2048,reg1,Wind_On-Shore_PP,fixed_cost,1218464000.0
348,2049,reg1,Wind_On-Shore_PP,fixed_cost,1210800000.0000002
349,2050,reg1,Wind_On-Shore_PP,fixed_cost,1250000000.0
350,2051,reg1,Wind_On-Shore_PP,fixed_cost,1250000000.0
351,2052,reg1,Wind_On-Shore_PP,fixed_cost,1250000000.0
352,2053,reg1,Wind_On-Shore_PP,fixed_cost,1250000000.0
353,2054,reg1,Wind_On-Shore_PP,fixed_cost,1250000000.0
354,2055,reg1,Wind_On-Shore_PP,fixed_cost,1250000000.0
355,2056,reg1,Wind_On-Shore_PP,fixed_cost,1250000000.0
356,2057,reg1,Wind_On-Shore_PP,fixed_cost,1250000000.0
357,2058,reg1,Wind_On-Shore_PP,fixed_cost,1250000000.0
358,2059,reg1,Wind_On-Shore_PP,fixed_cost,1250000000.0
359,2060,reg1,Wind_On-Shore_PP,fixed_cost,1250000000.0
360,2025,reg1,Wind_Off-Shore_PP,fixed_cost,3264000.0
361,2026,reg1,Wind_Off-Shore_PP,fixed_cost,3228000.0
362,2027,reg1,Wind_Off-Shore_PP,fixed_cost,3192000.0
363,2028,reg1,Wind_Off-Shore_PP,fixed_cost,3156000.0
364,2029,reg1,Wind_Off-Shore_PP,fixed_cost,3120000.0
365,2030,reg1,Wind_Off-Shore_PP,fixed_cost,3084000.0
366,2031,reg1,Wind_Off-Shore_PP,fixed_cost,3048000.0
367,2032,reg1,Wind_Off-Shore_PP,fixed_cost,3012000.0
368,2033,reg1,Wind_Off-Shore_PP,fixed_cost,2976000.0
369,2034,reg1,Wind_Off-Shore_PP,fixed_cost,2940000.0
370,2035,reg1,Wind_Off-Shore_PP,fixed_cost,2904000.0
371,2036,reg1,Wind_Off-Shore_PP,fixed_cost,2868000.0
372,2037,reg1,Wind_Off-Shore_PP,fixed_cost,2832000.0
373,2038,reg1,Wind_Off-Shore_PP,fixed_cost,2796000.0
374,2039,reg1,Wind_Off-Shore_PP,fixed_cost,2760000.0
375,2040,reg1,Wind_Off-Shore_PP,fixed_cost,2724000.0
376,2041,reg1,Wind_Off-Shore_PP,fixed_cost,2688000.0
377,2042,reg1,Wind_Off-Shore_PP,fixed_cost,2652000.0
378,2043,reg1,Wind_Off-Shore_PP,fixed_cost,2616000.0
379,2044,reg1,Wind_Off-Shore_PP,fixed_cost,2580000.0
380,2045,reg1,Wind_Off-Shore_PP,fixed_cost,2544000.0
381,2046,reg1,Wind_Off-Shore_PP,fixed_cost,2508000.0
382,2047,reg1,Wind_Off-Shore_PP,fixed_cost,2472000.0
